그린 북,['드라마'],9.61,5939,https://movie-phinf.pstatic.net//20190115_228/1547528180168jgEP7_JPEG/movie_image.jpg?type=m210
가버나움,['드라마'],9.59,2883,https://movie-phinf.pstatic.net//20190109_149/1546998123676c6LjJ_JPEG/movie_image.jpg?type=m210
주전장,['다큐멘터리'],9.53,867,https://movie-phinf.pstatic.net//20190712_279/1562912698606Qv0GH_JPEG/movie_image.jpg?type=m210
베일리 어게인,"['모험', '코미디', '드라마']",9.53,2147,https://movie-phinf.pstatic.net//20181031_264/1540949415228uy0j3_JPEG/movie_image.jpg?type=m210
아일라,"['드라마', '전쟁']",9.48,1721,https://movie-phinf.pstatic.net//20180524_108/1527129319423XRTcI_JPEG/movie_image.jpg?type=m210
원더,['드라마'],9.46,2839,https://movie-phinf.pstatic.net//20171229_112/1514526663263n37r0_JPEG/movie_image.jpg?type=m210
당갈,"['드라마', '액션']",9.43,1980,https://movie-phinf.pstatic.net//20180329_2/1522287706725roSen_JPEG/movie_image.jpg?type=m210
쇼생크 탈출,['드라마'],9.43,17678,https://movie-phinf.pstatic.net//20160119_278/14531650465287bcuk_JPEG/movie_image.jpg?type=m210
보헤미안 랩소디,['드라마'],9.42,39382,https://movie-phinf.pstatic.net//20181213_264/1544692854634ss65r_JPEG/movie_image.jpg?type=m210
터미네이터 2,"['SF', '액션', '스릴러']",9.41,6962,https://movie-phinf.pstatic.net//20190808_222/1565227513796UPGNm_JPEG/movie_image.jpg?type=m210
덕구,['드라마'],9.41,2482,https://movie-phinf.pstatic.net//20180312_10/1520835949152TqOUm_JPEG/movie_image.jpg?type=m210
알라딘,"['모험', '가족', '판타지', '뮤지컬', '멜로/애정/로맨스']",9.4,26098,https://movie-phinf.pstatic.net//20190524_104/1558663170174Q2mmw_JPEG/movie_image.jpg?type=m210
월-E,"['애니메이션', 'SF', '가족', '코미디', '멜로/애정/로맨스', '모험']",9.4,9965,https://movie-phinf.pstatic.net//20111222_250/1324545484806T0DN9_JPEG/movie_image.jpg?type=m210
나 홀로 집에,"['모험', '범죄', '가족', '코미디']",9.39,4067,https://movie-phinf.pstatic.net//20111222_256/1324527530062tFbqt_JPEG/movie_image.jpg?type=m210
라이언 일병 구하기,"['전쟁', '액션', '드라마']",9.39,4274,https://movie-phinf.pstatic.net//20111222_4/1324498435937yqCYm_JPEG/movie_image.jpg?type=m210
인생은 아름다워,"['드라마', '코미디']",9.39,12059,https://movie-phinf.pstatic.net//20160321_156/14585243498978uRh9_JPEG/movie_image.jpg?type=m210
빽 투 더 퓨쳐,"['SF', '코미디']",9.4,3043,https://movie-phinf.pstatic.net//20150924_194/1443056454769VJKkL_JPEG/movie_image.jpg?type=m210
매트릭스,"['SF', '액션']",9.39,4668,https://movie-phinf.pstatic.net//20160907_158/1473230958410gjEYe_JPEG/movie_image.jpg?type=m210
사운드 오브 뮤직,"['멜로/애정/로맨스', '뮤지컬', '드라마']",9.39,4440,https://movie-phinf.pstatic.net//20161124_209/1479966118269WuVYF_JPEG/movie_image.jpg?type=m210
포레스트 검프,"['드라마', '코미디']",9.39,7756,https://movie-phinf.pstatic.net//20160901_187/1472711688297YP2jH_JPEG/movie_image.jpg?type=m210
헬프,['드라마'],9.39,3499,https://movie-phinf.pstatic.net//20111223_214/1324649693153G81OH_JPEG/movie_image.jpg?type=m210
글래디에이터,"['액션', '드라마']",9.38,4162,https://movie-phinf.pstatic.net//20130419_151/1366338731242XqgJS_JPEG/movie_image.jpg?type=m210
어벤져스: 엔드게임,"['액션', 'SF']",9.38,68747,https://movie-phinf.pstatic.net//20190417_250/1555465284425i6WQE_JPEG/movie_image.jpg?type=m210
살인의 추억,"['범죄', '미스터리', '스릴러', '코미디', '드라마']",9.38,6130,https://movie-phinf.pstatic.net//20111222_166/1324548172003mpyIa_JPEG/movie_image.jpg?type=m210
토이 스토리 3,"['애니메이션', '모험', '코미디', '가족', '판타지']",9.38,7611,https://movie-phinf.pstatic.net//20111223_166/1324619308419RAp5L_JPEG/movie_image.jpg?type=m210
센과 치히로의 행방불명,"['애니메이션', '판타지', '모험', '가족']",9.36,12954,https://movie-phinf.pstatic.net//20150113_96/1421113909808LPjqA_JPEG/movie_image.jpg?type=m210
À§´ëÇÑ ¼î¸Ç,"['µå¶ó¸¶', '¹ÂÁöÄÃ']",9.38,13736,https://movie-phinf.pstatic.net//20171218_47/1513561221134wvRja_JPEG/movie_image.jpg?type=m210
